,Times,Times.1,Times.2,Times.3,P,J,V,E,D,GP,GC,SG,%
0,1,,Flamengo >>,,27,13,8,3,2,22,12,10,69
1,2,,Palmeiras >>,Subiu2,26,13,8,2,3,18,9,9,66
2,3,,Botafogo >>,,24,13,7,3,3,21,13,8,61
3,4,,Bahia >>,Desceu2,24,13,7,3,3,21,16,5,61
4,5,,Athletico-PR >>,Subiu1,22,13,6,4,3,16,10,6,56
5,6,,São Paulo >>,Subiu1,21,13,6,3,4,20,15,5,53
6,7,,Cruzeiro >>,Desceu2,20,12,6,2,4,16,16,0,55
7,8,,Fortaleza >>,Subiu3,20,12,5,5,2,13,12,1,55
8,9,,Bragantino >>,Desceu1,19,13,5,4,4,17,15,2,48
9,10,,Internacional >>,Desceu1,18,11,5,3,3,10,8,2,54
10,11,,Atlético-MG >>,Desceu1,18,12,4,6,2,18,16,2,50
11,12,,Juventude >>,,16,12,4,4,4,15,17,-2,44
12,13,,Criciúma >>,,13,11,3,4,4,18,19,-1,39
13,14,,Cuiabá >>,,13,13,3,4,6,14,17,-3,33
14,15,,Vitória >>,,12,13,3,3,7,14,20,-6,30
15,16,,Vasco da Gama >>,,11,13,3,2,8,13,25,-12,28
16,17,,Atlético Goianiense >>,,11,13,2,5,6,11,16,-5,28
17,18,,Grêmio >>,Subiu1,10,11,3,1,7,8,12,-4,30
18,19,,Corinthians >>,Desceu1,9,13,1,6,6,9,15,-6,23
19,20,,Fluminense >>,,6,13,1,3,9,10,21,-11,15
